                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9471,                 2.7508,                 1.7002,                0.88792,                0.55882,                0.74386,                 0.3806,                 1.7061,                 2.0416,                 1.5882,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.6451,                 1.6884,                 1.4354,                0.86249,                0.66176,                 0.7256,                0.38475,                 1.5147,                 1.7583,                 1.4976,              0.0012995,              0.0012995,              0.0012995
                      3,                  1.533,                 1.3678,                 1.3456,                0.76426,                0.57353,                0.61155,                0.30274,                  1.745,                 5.6756,                 1.6437,              0.0019334,              0.0019334,              0.0019334
                      4,                  1.533,                 1.2216,                 1.3847,                0.88015,                0.54005,                0.66476,                0.35252,                 1.6347,                 2.5135,                 1.5611,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.4946,                 1.1557,                 1.3582,                 0.9031,                0.54827,                0.64896,                0.33199,                  1.716,                 2.9402,                 1.5853,              0.0019258,              0.0019258,              0.0019258
                      6,                 1.5275,                 1.1045,                  1.372,                0.80194,                0.48529,                0.63367,                 0.3081,                 1.8017,                 1.7291,                 1.6802,               0.001901,               0.001901,               0.001901
                      7,                 1.5112,                 1.1339,                 1.3779,                0.79909,                0.46799,                0.60433,                 0.3355,                 1.5622,                 2.2793,                 1.4926,              0.0018763,              0.0018763,              0.0018763
                      8,                 1.4178,                 1.0284,                 1.3165,                0.78035,                0.72059,                0.76619,                0.43959,                 1.5082,                 1.2694,                 1.4994,              0.0018515,              0.0018515,              0.0018515
                      9,                 1.4333,                  1.043,                 1.3101,                 0.7369,                0.64706,                 0.7545,                0.39318,                 1.5786,                 2.0866,                 1.4851,              0.0018267,              0.0018267,              0.0018267
                     10,                  1.398,                0.94979,                 1.3223,                0.89561,                 0.6309,                 0.7291,                0.37735,                 1.6461,                 1.2174,                 1.6103,               0.001802,               0.001802,               0.001802
                     11,                 1.3716,                0.92209,                 1.3248,                0.85811,                0.58824,                0.72134,                0.36363,                 1.5732,                 1.8211,                 1.5648,              0.0017772,              0.0017772,              0.0017772
                     12,                 1.4286,                0.90722,                 1.3251,                0.81447,                0.80882,                0.83971,                0.45675,                 1.6349,                0.99639,                  1.559,              0.0017525,              0.0017525,              0.0017525
                     13,                 1.3481,                0.87361,                 1.3042,                 0.8052,                0.72949,                0.82143,                0.42021,                 1.6279,                  1.111,                 1.5772,              0.0017278,              0.0017278,              0.0017278
                     14,                  1.367,                0.84506,                 1.3135,                0.77629,                0.77941,                0.79157,                0.38714,                 1.7474,                 1.0804,                 1.6566,               0.001703,               0.001703,               0.001703
                     15,                 1.3389,                0.86168,                 1.3025,                0.88309,                0.77759,                0.87152,                0.45896,                 1.6168,                 1.0869,                  1.516,              0.0016783,              0.0016783,              0.0016783
                     16,                 1.2533,                0.80591,                 1.2597,                0.70807,                0.82353,                0.80014,                0.42263,                 1.6075,                 1.0248,                 1.5597,              0.0016535,              0.0016535,              0.0016535
                     17,                 1.2425,                0.79825,                 1.2726,                0.84069,                0.76471,                0.83488,                0.46643,                 1.5392,                0.93102,                 1.5959,              0.0016287,              0.0016287,              0.0016287
                     18,                 1.2191,                0.75685,                 1.2535,                  0.797,                0.73529,                0.80267,                0.43236,                 1.6233,                 0.9922,                 1.5654,               0.001604,               0.001604,               0.001604
                     19,                 1.2703,                0.73124,                 1.2583,                0.82992,                0.79412,                0.80178,                0.46454,                 1.5415,                 1.0231,                 1.5478,              0.0015793,              0.0015793,              0.0015793
                     20,                 1.2369,                0.78286,                  1.237,                0.84644,                0.79412,                  0.868,                0.48541,                 1.5636,                0.89259,                 1.5484,              0.0015545,              0.0015545,              0.0015545
                     21,                 1.1851,                0.73516,                 1.2274,                0.90778,                0.70588,                0.85354,                0.45451,                  1.604,                0.94889,                 1.5536,              0.0015298,              0.0015298,              0.0015298
                     22,                 1.2016,                0.71102,                 1.2109,                0.89751,                0.82353,                0.87118,                0.45422,                 1.6474,                 0.8719,                 1.5899,               0.001505,               0.001505,               0.001505
                     23,                 1.1759,                0.71292,                 1.2062,                 0.8184,                0.82353,                0.83461,                0.45903,                 1.6255,                0.99646,                 1.5843,              0.0014803,              0.0014803,              0.0014803
                     24,                 1.1195,                0.67772,                 1.1752,                0.86834,                0.70588,                0.82653,                0.45248,                  1.653,                0.96915,                 1.5564,              0.0014555,              0.0014555,              0.0014555
                     25,                 1.1238,                0.69146,                 1.1948,                0.88349,                0.73529,                 0.8215,                0.44627,                 1.6267,                0.95601,                  1.641,              0.0014307,              0.0014307,              0.0014307
                     26,                 1.0993,                0.63736,                  1.164,                0.81911,                0.82353,                0.84088,                0.45443,                 1.5927,                0.88283,                 1.6723,               0.001406,               0.001406,               0.001406
                     27,                  1.095,                0.65509,                 1.1679,                0.84195,                0.76471,                0.85039,                0.46869,                 1.5943,                0.92707,                 1.6196,              0.0013813,              0.0013813,              0.0013813
                     28,                 1.0707,                0.63922,                 1.1655,                0.89407,                0.74478,                0.85731,                0.47962,                 1.5561,                0.84276,                  1.627,              0.0013565,              0.0013565,              0.0013565
                     29,                 1.0506,                0.62278,                 1.1562,                0.83727,                0.79412,                0.79711,                0.43086,                  1.647,                0.98674,                 1.6969,              0.0013318,              0.0013318,              0.0013318
                     30,                 1.0007,                0.59793,                 1.1285,                0.82709,                0.77382,                0.83656,                0.42019,                 1.7092,                 0.9682,                 1.6892,               0.001307,               0.001307,               0.001307
                     31,                0.98183,                0.57629,                 1.1041,                0.84804,                0.79412,                 0.8581,                0.41082,                 1.6935,                0.95468,                 1.7508,              0.0012822,              0.0012822,              0.0012822
                     32,                0.94714,                0.57145,                 1.0766,                0.90898,                0.73434,                0.83893,                0.43969,                 1.7352,                0.88707,                 1.7294,              0.0012575,              0.0012575,              0.0012575
                     33,                0.94741,                0.55025,                 1.0809,                0.87624,                0.83302,                0.87251,                 0.5028,                 1.6023,                0.85195,                 1.6594,              0.0012328,              0.0012328,              0.0012328
                     34,                0.94096,                0.57149,                 1.0906,                0.92285,                0.80882,                0.87835,                0.49549,                  1.577,                0.89574,                 1.6461,               0.001208,               0.001208,               0.001208
                     35,                0.88429,                0.55392,                 1.0745,                0.94052,                0.72059,                 0.8169,                0.44862,                 1.6707,                0.90588,                 1.6584,              0.0011833,              0.0011833,              0.0011833
                     36,                 0.8928,                0.53604,                 1.0659,                0.91327,                0.77436,                0.81669,                0.42776,                 1.7216,                0.91861,                 1.7624,              0.0011585,              0.0011585,              0.0011585
                     37,                0.88992,                0.53701,                  1.054,                0.86165,                0.77941,                0.82606,                0.49015,                 1.4583,                0.88066,                 1.6247,              0.0011337,              0.0011337,              0.0011337
                     38,                0.86363,                0.51869,                 1.0723,                0.83087,                0.79471,                0.84582,                0.48208,                 1.5294,                0.88661,                 1.5668,               0.001109,               0.001109,               0.001109
                     39,                0.89038,                0.52469,                 1.0626,                0.92526,                0.77941,                0.83789,                0.45755,                    1.6,                0.95453,                 1.6293,              0.0010842,              0.0010842,              0.0010842
                     40,                0.87354,                0.49792,                 1.0562,                0.90305,                0.82187,                0.86665,                0.47712,                 1.5687,                 0.8703,                 1.5979,              0.0010595,              0.0010595,              0.0010595
                     41,                0.83558,                0.49406,                 1.0313,                0.92335,                0.76471,                0.86332,                0.48977,                 1.5467,                0.89309,                 1.7087,              0.0010347,              0.0010347,              0.0010347
                     42,                0.82353,                0.49699,                 1.0386,                0.95157,                0.76471,                0.80971,                 0.4316,                 1.6961,                0.91618,                  1.745,                0.00101,                0.00101,                0.00101
                     43,                0.80426,                0.48688,                 1.0168,                0.90415,                0.77941,                0.83646,                0.46505,                 1.7035,                0.97252,                 1.6778,             0.00098525,             0.00098525,             0.00098525
                     44,                0.79779,                0.49228,                 1.0122,                 0.9052,                0.80882,                 0.8943,                0.48831,                 1.5472,                0.81646,                 1.5887,              0.0009605,              0.0009605,              0.0009605
                     45,                0.76534,                0.49359,                 1.0127,                0.87016,                   0.75,                0.83519,                0.46134,                 1.6207,                0.93489,                 1.6972,             0.00093575,             0.00093575,             0.00093575
                     46,                0.75716,                0.47706,                 1.0107,                0.91365,                   0.75,                0.85395,                0.46827,                 1.5863,                0.88712,                 1.6814,               0.000911,               0.000911,               0.000911
                     47,                0.76604,                0.47033,                0.99748,                0.94172,                0.79412,                0.86279,                0.45922,                 1.6978,                0.87949,                 1.7602,             0.00088625,             0.00088625,             0.00088625
